Well,Date,Oil,Gas,Water,InjGas,InjWtr
SCU_32B-09,4/1/2014,14,441,42,,
SCU_21C-04,12/1/2014,14,22,,,
SCU_12A-04,5/1/2006,15,,,,
SCU_343-33,7/1/2009,15,,,,
SCU_32B-09,8/1/2013,15,135,1737,,
SCU_33-05,12/1/2013,15,8,212,,
SCU_33-05,2/1/2014,15,3,202,,
SRU_21-22,1/1/2016,15,209,1506,,
SRU_14A-33,10/1/2016,15,3,57,,
SCU_314-03,1/1/1996,16,302044,,,
SCU_21A-04,3/1/1998,16,224649,244,,
SCU_33-05,6/1/2006,16,205,32,,
SCU_24-09,9/1/2014,16,240,1715,,
SCU_24A-09,9/1/2014,16,240,1715,,
SCU_24-09,8/1/2016,16,410,1243,,
SCU_24A-09,8/1/2016,16,410,1243,,
SCU_21A-04,4/1/1998,17,193417,277,,
SCU_13-09,4/1/1999,17,2468,1,,
SCU_21A-04,6/1/2003,17,81459,227,,
SCU_314-04,10/1/2003,17,68037,16,,
SCU_22-04,7/1/2014,17,48,79,,
SRU_14A-33,7/1/2016,17,3,68,,
SCU_12-03,7/1/1968,18,,1802,,
SRU_12-27,10/1/1972,18,14,1782,,
SCU_34-08,5/1/1984,18,796,73,,
SCU_34-09,6/1/2005,18,,1618,,
SCU_12A-04,10/1/2006,18,1,,,
SCU_24-09,2/1/2015,18,60,670,,
SCU_24A-09,2/1/2015,18,60,670,,
SCU_32B-09,11/1/2015,18,187,443,,
SCU_43-09,5/1/1983,19,1692,6,,
SCU_41B-09,4/1/1993,19,5072,2,,
SCU_21A-04,7/1/2001,19,161145,335,,
SCU_33-05,7/1/2006,19,305,55,,
SRU_43A-15,5/1/1980,20,,70,,
SCU_12A-10,3/1/1985,20,1871,4,,
SCU_41B-09,7/1/1992,20,5992,2,,
SCU_314-03,12/1/1996,20,412520,3013,,
SCU_21A-04,2/1/1998,20,85599,115,,
SCU_21A-04,5/1/1998,20,221784,179,,
SCU_42-04,4/1/2001,20,356876,4,,
SCU_21A-04,9/1/2003,20,69317,334,,
SCU_314-04,7/1/2004,20,13506,23,,
SCU_42-04,5/1/2005,20,137,61,,
SCU_314-04,9/1/2005,20,316,161,,
SCU_44-04,1/1/2012,20,3184,943,,
SCU_44-04,2/1/2012,20,4222,599,,
SCU_44-04,3/1/2012,20,3565,595,,
SCU_41A-04,11/1/2014,20,7,855,,
SCU_42-05,2/1/1978,21,,,,
SRU_43A-15,10/1/1981,21,4146,156,,
SRU_14-22,8/1/1988,21,13,395,,
SRU_14A-33,12/1/1999,21,2022,58,,
SCU_21A-04,8/1/2001,21,174290,367,,
SCU_33-05,4/1/2008,21,1703,228,,
SCU_343-33,11/1/2009,21,,,,
SCU_343-33,4/1/2010,21,,,,
SCU_32B-09,8/1/2015,21,442,656,,
SRU_14A-33,5/1/2016,21,508,,,
SRU_12-27,12/1/1971,22,129,2178,,
SCU_41B-09,11/1/1989,22,,2222,,
SCU_42A-05,12/1/1999,22,6,506,,
SCU_21A-04,6/1/2001,22,160081,266,,
SCU_343-33,6/1/2009,22,,,,
SCU_343-33,6/1/2010,22,,,,
SCU_343-33,3/1/2011,22,,,,
SCU_32B-09,5/1/2013,22,2319,2088,,
SCU_42-05,1/1/1977,23,,,,
SCU_42-05,12/1/1977,23,,,,
SCU_13-34,6/1/1983,23,2143,7,,
SCU_33-08,12/1/1985,23,798,1,,
SCU_21A-04,6/1/1998,23,182969,164,,
SCU_341-04,6/1/2000,23,117735,2694,,
SCU_12A-04,8/1/2009,23,142,135,,
SCU_41B-09,2/1/1995,24,9108,4,,
SCU_21A-04,1/1/1998,24,219663,237,,
SCU_341-04,2/1/2000,24,154953,4033,,
SCU_12A-04,4/1/2006,24,2,,,
SCU_33-05,5/1/2008,24,713,602,,
SCU_33-05,6/1/2008,24,641,459,,
SCU_33-05,7/1/2008,24,732,329,,
SRU_43A-15,9/1/1978,25,,55,,
SCU_32A-05,9/1/1986,25,857,2,,
SCU_41B-09,10/1/1989,25,2180,142,,
SCU_314-03,10/1/1997,25,137272,2767,,
SCU_21A-04,7/1/2003,25,72830,365,,
SCU_343-33,7/1/2007,25,17,,,
SCU_33-05,1/1/2008,25,1891,471,,
SRU_23-33,9/1/2008,25,1016,29,,
SCU_23A-09,11/1/2012,25,3771,166,,
SCU_33-05,6/1/2013,25,162,519,,
SRU_14-15,9/1/1983,26,,2400,,
SCU_12A-10,11/1/1984,26,3275,6,,
SCU_21A-04,9/1/2001,26,152994,276,,
SCU_42B-05,11/1/2004,26,47,192,,
SCU_42-04,6/1/2005,26,,69,,
SCU_33-05,12/1/2007,26,1256,490,,
SRU_23-33,12/1/2007,26,,44,,
SCU_33-05,8/1/2008,26,1112,180,,
SCU_33-05,9/1/2008,26,1263,259,,
SCU_343-33,5/1/2011,26,,,,
SCU_32B-09,6/1/2013,26,,984,,
SCU_32B-09,5/1/2014,26,256,458,,
SCU_41B-09,1/1/1993,27,7298,2,,
SCU_21A-04,3/1/2003,27,60717,252,,
SCU_33-05,10/1/2008,27,848,303,,
SRU_14A-33,12/1/2016,27,1904,,,
SRU_312-22,8/1/1979,28,6452,1659,,
SCU_41B-09,8/1/1992,28,7928,3,,
SRU_12-27,10/1/1998,28,823,1362,,
SCU_21A-04,2/1/2003,28,83633,409,,
SCU_33-05,11/1/2003,28,4142,150,,
SCU_314-04,6/1/2005,28,1352,310,,
SCU_42B-05,10/1/2005,28,,184,,
SCU_22-04,8/1/2012,28,6978,824,,
SCU_32B-09,1/1/2013,28,4681,2281,,
SCU_22-04,3/1/2013,28,9750,198,,
SCU_44-05,11/1/2014,28,126,29,,
SCU_34-09,6/1/1985,29,2186,1,,
SCU_42A-05,10/1/1997,29,4652,725,,
SCU_21A-04,5/1/2001,29,186266,322,,
SCU_21A-04,11/1/2001,29,137364,328,,
SCU_32B-09,10/1/2012,29,1110,1340,,
SCU_43A-33,8/1/2014,29,2,849,,
SCU_32B-09,9/1/2015,29,324,678,,
SRU_34-10,6/1/1963,30,,2,,
SRU_14-22,8/1/1989,30,114,715,,
SCU_21A-04,10/1/2001,30,138683,347,,
SCU_314-04,4/1/2003,30,110963,12,,
SCU_34-09,3/1/2005,30,4,481,,
SCU_34-09,5/1/2007,30,16,2543,,
SCU_343-33,10/1/2010,30,,,,
SCU_33-05,5/1/2013,30,68,737,,
SRU_23-15,12/1/1996,31,1549,788,,
SCU_21A-04,12/1/2001,31,138406,282,,
SCU_24A-05,12/1/2004,31,9,45,,
SCU_34-09,4/1/2005,31,59,2161,,
SCU_314-03,9/1/1997,32,163542,2988,,
SCU_12A-04,2/1/2008,32,,,,
SCU_343-33,10/1/2008,32,,,,
SCU_33-05,11/1/2008,32,704,318,,
SRU_14A-33,6/1/2017,32,913,90,,
SCU_314-04,8/1/2000,33,125054,21,,
SCU_21A-04,4/1/2002,33,131553,293,,
SCU_343-33,10/1/2009,33,,,,
SCU_32B-09,11/1/2012,33,3061,2410,,
SCU_22-04,9/1/2013,33,143,223,,
SRU_21-22,12/1/2015,33,461,3322,,
SRU_34-10,4/1/1960,34,34,5,,
SRU_12-34,10/1/1976,34,,21337,,
SCU_13-04,2/1/1998,34,419,2,,
SCU_43A-05,2/1/1998,34,419,2,,
SCU_341-04,5/1/2000,34,109975,4141,,
SCU_33-05,2/1/2003,34,677,422,,
SCU_314-04,5/1/2003,34,77383,15,,
SCU_343-33,5/1/2007,34,88,,,
SCU_33-05,12/1/2008,34,1268,270,,
SCU_343-33,4/1/2009,34,,,,
SCU_343-33,1/1/2011,34,,,,
SCU_32B-09,12/1/2012,34,688,1510,,
SCU_22-04,8/1/2013,34,173,537,,
SCU_332-04,9/1/2014,34,1682,,,
SRU_34-10,1/1/1986,35,1100,2071,,
SRU_23-33,1/1/2008,35,,43,,
SCU_24-09,9/1/2013,35,4912,1453,,
SCU_24A-09,9/1/2013,35,4912,1453,,
SRU_14A-33,3/1/2014,35,198,,,
SCU_34-09,6/1/1987,36,5359,2,,
SCU_13-04,5/1/1998,36,4,7,,
SCU_43A-05,5/1/1998,36,4,7,,
SCU_21A-04,1/1/2002,36,115672,349,,
SCU_21A-04,5/1/2002,36,98690,358,,
SCU_314-04,4/1/2004,36,41552,31,,
SCU_343-33,9/1/2008,36,44,,,
SRU_21-27,9/1/2011,36,,756,,
SCU_32B-09,6/1/2016,36,647,1043,,
SCU_23B-03,10/1/1994,37,18081,5,,
SRU_23-15,3/1/1996,37,1282,2697,,
SCU_33-05,1/1/2007,37,,129,,
SRU_23-33,7/1/2009,37,,19,,
SRU_32A-33,9/1/2010,37,,965,,
SCU_32B-09,2/1/2015,37,21,1808,,
SCU_21A-04,5/1/2003,38,74379,326,,
SCU_34-09,7/1/2006,38,,2108,,
SCU_32B-09,8/1/2014,38,9,1849,,
SRU_12-27,9/1/1972,39,25,3861,,
SCU_43-09,4/1/1998,39,30234,391,,
SCU_341-04,4/1/2000,39,159539,3821,,
SCU_33-05,3/1/2003,39,73,395,,
SCU_314-04,2/1/2004,39,47003,28,,
SCU_33-05,10/1/2006,39,22,119,,
SCU_22-04,5/1/2008,39,191,10,,
SCU_21A-16,7/1/1976,40,401,16,,
SCU_34-09,5/1/2005,40,19,1960,,
SCU_33-05,5/1/2007,40,1503,136,,
SCU_343-33,5/1/2009,40,4,,,
SCU_43-09,5/1/1985,41,4116,2,,
SCU_314-03,12/1/1997,41,65318,1683,,
SCU_314-04,11/1/2000,41,114268,4,15676,
SCU_21A-04,2/1/2002,41,128527,323,,
SCU_21A-04,7/1/2002,41,92712,337,,
SCU_12A-04,3/1/2006,41,3,,,
SCU_33-05,6/1/2007,41,,471,,
SRU_14A-33,9/1/2017,41,,,,
SCU_314-03,7/1/1996,42,273609,6,,
SCU_13-04,6/1/2000,42,75565,60,,
SCU_43A-05,6/1/2000,42,75565,60,,
SCU_21A-04,8/1/1989,43,9004,4,,
SCU_43-09,12/1/1990,43,6181,5,,
SRU_12-27,7/1/1993,43,28,254,,
SCU_13-09,1/1/1998,43,3,,,
SCU_32B-09,10/1/2003,43,270,738,,
SCU_31-08,3/1/2015,43,103,82,,
SCU_13-04,7/1/1996,44,11,3,,
SCU_43A-05,7/1/1996,44,11,3,,
SCU_42B-05,10/1/2004,44,,403,,
SCU_24-09,9/1/2016,44,4144,2974,,
SCU_24A-09,9/1/2016,44,4144,2974,,
SCU_33-05,4/1/2003,45,112,414,,
SCU_33-05,5/1/2003,45,91,458,,
SCU_314-04,3/1/2004,45,46766,29,,
SCU_33-05,7/1/2013,45,276,537,,
SCU_32B-09,6/1/2015,45,432,880,,
SCU_34-09,9/1/2006,46,,1933,,
SRU_21A-34,11/1/2012,46,11600,5153,,
SCU_34-09,12/1/2000,47,,1357,,
SRU_23-33,2/1/2006,47,341,74,,
SCU_22-04,9/1/2012,47,11577,1300,,
SCU_32B-09,7/1/2013,47,729,1354,,
SCU_332-04,8/1/2016,47,369,,,
SCU_14-05,4/1/1972,48,9,161,,
SRU_12-27,8/1/1972,48,44,4752,,
SCU_43-09,10/1/1983,48,4503,13,,
SCU_314-04,6/1/2004,48,32272,46,,
SRU_23-33,9/1/2006,48,,35,,
SCU_33-05,2/1/2007,48,502,144,,
SCU_14-34,4/1/1973,49,8396,2401,,
SRU_312-22,9/1/1979,49,10473,15230,,
SCU_34-09,1/1/1996,49,11049,1,,
SCU_13-04,11/1/2000,49,35009,45,,
SCU_43A-05,11/1/2000,49,35009,45,,
SCU_314-04,11/1/2003,49,72063,26,,
SCU_314-04,5/1/2004,49,39610,33,,
SCU_12A-04,6/1/2005,49,,,,
SRU_14A-33,8/1/2005,49,1,,,
SRU_23-33,4/1/2008,49,20,41,,
SCU_22-04,12/1/2013,49,140,834,,
