Well,Date,Oil,Gas,Water,InjGas,InjWtr
SCU_32-08,6/1/2012,2660,779,730,,
SCU_34-05,1/1/1985,2661,80796,31,,
SCU_44A-08,8/1/1981,2663,165667,91,,
SCU_14-34,3/1/1999,2663,129638,794,,
SCU_33-33,11/1/2014,2663,3746,2619,,
SCU_34-33,4/1/1980,2665,132720,99,,
SCU_42B-05,9/1/1994,2665,314421,423,,
SCU_33-33,1/1/1996,2665,192521,871,,
SRU_21-27,7/1/1989,2666,8694,16182,,
SCU_43-09,6/1/1993,2667,410974,319,,
SCU_42B-05,4/1/1994,2668,354794,463,,
SCU_33-33,12/1/2012,2669,2970,2090,,
SCU_24-09,1/1/1983,2670,171235,812,,
SCU_24A-09,1/1/1983,2670,171235,812,,
SCU_21A-04,4/1/1983,2670,210744,677,,
KGSF_1,8/1/1983,2670,168308,42276,,
SCU_41-05,3/1/1994,2672,408594,431,,
SRU_21-22,7/1/1995,2672,2039,33031,,
SCU_33-33,2/1/1997,2672,45369,1130,,
SCU_41-05,8/1/1994,2673,447427,309,,
KGSF_1,7/1/1982,2674,27667,9778,,
SCU_12A-04,7/1/1982,2674,214942,728,,
SRU_32A-33,10/1/2004,2675,526,24572,,
SCU_32-08,7/1/2006,2675,893,177,,
SRU_21-27,11/1/1991,2676,14342,19617,,
SRU_41-33,7/1/2004,2676,15966,45070,,
SRU_14-22,4/1/1963,2677,462,588,,
SCU_41-05,2/1/1973,2677,11665,6246,,
SCU_41-05,12/1/1994,2677,469120,427,,
SRU_41A-15,5/1/1979,2679,9927,15438,,
SRU_12-15,11/1/1983,2679,9527,17625,,
SCU_34-08,7/1/1972,2680,1218,846,,
SRU_41A-15,9/1/2016,2680,5515,30272,,
SCU_33-05,2/1/1980,2682,75375,54,,
SRU_21-22,4/1/1994,2682,4409,28370,,
SCU_41A-08,9/1/2014,2684,2403,5874,,
SCU_34-08,1/1/1987,2685,156378,597,,
SCU_34-09,12/1/1997,2685,240088,6086,,
SCU_332-04,1/1/2005,2685,835,87,,
SCU_12A-03,10/1/1997,2688,105465,42991,,
SCU_31-08,4/1/1993,2689,169851,172,,
SRU_14A-33,11/1/1994,2689,233001,586,,
SRU_12-27,9/1/1968,2690,1231,2716,,
SCU_43A-08,2/1/1976,2690,24997,486,,
SCU_32A-05,4/1/1981,2690,76840,5434,,
SCU_42B-05,10/1/1995,2690,366157,562,,
SRU_41-33,10/1/2004,2690,8936,55896,,
SCU_323-09,11/1/1973,2691,379533,322,,
SCU_34-08,9/1/1980,2691,112796,4379,,
SCU_32A-09,2/1/1988,2691,204249,282,,
SRU_12-15,3/1/1990,2692,6647,18250,,
SCU_33-33,3/1/2010,2692,1292,2533,,
SRU_12-15,3/1/1987,2693,12423,20770,,
SCU_33-33,4/1/2015,2693,4801,3203,,
SCU_43B-08,8/1/1997,2695,169539,371,,
SRU_12-15,11/1/1962,2696,833,41,,
SCU_34-04,2/1/1987,2697,170062,80,,
SRU_41-33,3/1/2000,2697,44144,61641,,
SCU_43B-08,11/1/1996,2698,221250,348,,
SRU_23-33,3/1/1995,2699,26587,1051,,
SCU_23B-03,2/1/1984,2700,45623,98,,
SRU_21A-34,9/1/2010,2700,,54512,,
SCU_33-33,3/1/2012,2700,984,2864,,
SRU_21-27,12/1/1981,2701,50755,8394,,
SCU_21-03,2/1/1992,2701,448161,248,,
SCU_13-34,2/1/2004,2701,4130,1438,,
SRU_32A-33,9/1/1999,2702,2936,24354,,
SRU_21A-34,2/1/2003,2702,11099,39183,,
SCU_34-09,3/1/1981,2703,57786,423,,
SCU_33-05,8/1/1982,2703,38757,122,,
SCU_13-34,12/1/1998,2703,724,1446,,
SRU_32A-33,2/1/1999,2703,7687,27638,,
SCU_13-34,11/1/2003,2703,3804,1643,,
SCU_41-05,10/1/1991,2704,331731,440,,
SCU_43B-08,4/1/1996,2704,263361,432,,
SCU_33-33,11/1/1977,2706,256756,108,,
SRU_12-27,10/1/1991,2706,3810,20779,,
SCU_33A-08,2/1/2000,2706,20669,1722,,
SCU_34-08,2/1/1980,2707,151926,4509,,
SCU_21-03,3/1/1995,2707,485446,564,,
SCU_13-34,9/1/2003,2707,3903,1474,,
SCU_41A-09,12/1/1981,2709,220039,350,,
SRU_34-10,2/1/1983,2709,7732,28413,,
SCU_12A-04,2/1/1999,2710,70690,54,,
SRU_41-33,12/1/2003,2710,14224,43149,,
SRU_14-22,2/1/1982,2711,72223,12093,,
SRU_13-27,1/1/2017,2711,3326,17981,,
SRU_41A-15,4/1/1979,2712,8855,17910,,
SCU_332-04,4/1/2006,2713,,,,
SRU_12-27,1/1/1994,2714,8216,17722,,
SCU_13-34,10/1/2002,2714,7330,1559,,
SRU_21-22,6/1/1966,2715,675,4992,,
KGSF_1,12/1/1975,2715,76001,5872,,
SRU_41A-15,6/1/1978,2715,7973,10104,,
SCU_34-33,1/1/1981,2715,152767,300,,
SRU_34-10,6/1/1982,2715,100058,30816,,
SRU_32A-33,7/1/1999,2715,20107,25912,,
SCU_13-34,9/1/1999,2715,4042,1329,,
SRU_21A-34,6/1/2010,2715,2365,45527,,
SRU_34-28,4/1/1976,2716,77837,10592,,
SCU_34-08,8/1/1979,2716,124153,4116,,
SCU_32A-05,1/1/1982,2716,76476,2240,,
SRU_21-27,6/1/1985,2716,2282,10690,,
SCU_332-04,5/1/2007,2717,9,20,,
SCU_41A-08,6/1/2001,2718,88422,302,,
SRU_32A-15,11/1/1996,2719,314,325,,
SCU_13-34,12/1/2002,2719,4176,1564,,
SRU_23-33,7/1/1994,2720,32799,1048,,
SCU_33-33,6/1/2012,2720,1829,2822,,
SCU_34-08,12/1/1989,2722,263557,3672,,
SCU_43A-04,11/1/1990,2722,380191,286,,
SCU_41A-08,5/1/2014,2722,1409,3579,,
SCU_21-03,1/1/1987,2723,17609,119,,
SCU_13-34,3/1/2004,2723,4581,1534,,
SRU_12-15,3/1/1988,2724,1439,21516,,
SCU_31-08,3/1/1993,2724,173955,169,,
SRU_41A-15,11/1/2013,2725,4472,25958,,
SRU_21-27,6/1/1986,2726,7831,9583,,
SCU_41B-09,4/1/1992,2726,429709,136,,
SCU_43B-08,3/1/1998,2726,96872,546,,
SRU_23-22,4/1/1965,2727,571,2143,,
SCU_14-34,11/1/1998,2727,122632,776,,
SRU_41A-15,4/1/1975,2728,3819,12660,,
SRU_34-28,7/1/1980,2728,202864,19044,,
SRU_32A-33,12/1/2007,2728,1625,42029,,
SCU_31-08,5/1/1985,2729,107190,195,,
SCU_33-33,2/1/1996,2729,170169,589,,
SRU_41A-15,2/1/1979,2730,15655,14056,,
SCU_33A-08,8/1/1992,2731,165822,120,,
SCU_21-03,7/1/1995,2731,516276,733,,
SCU_12A-04,8/1/1995,2733,1020,,,
SRU_41-33,6/1/2001,2733,19523,63233,,
SRU_41A-15,12/1/2012,2733,6568,20334,,
SRU_21A-34,3/1/1998,2734,14595,24685,,
SCU_33-33,2/1/2015,2734,3837,3284,,
SCU_43A-04,8/1/1996,2735,1254,250,,
SCU_314-04,8/1/1960,2736,812,31,,
SRU_14A-33,2/1/1982,2736,58028,2495,,
SCU_33-33,5/1/2001,2736,6065,1345,,
SCU_34-08,6/1/1989,2737,270184,3379,,
SCU_343-33,5/1/1993,2737,100821,3376,,
SCU_32A-05,5/1/1981,2739,68412,4317,,
SRU_14A-33,10/1/1986,2739,38508,3592,,
SCU_21A-04,2/1/1983,2740,198893,864,,
SRU_32A-33,5/1/2000,2740,20210,25713,,
SCU_43A-08,2/1/1981,2741,22777,300,,
SRU_14A-33,2/1/1984,2741,162710,2330,,
SRU_41A-15,4/1/1977,2744,1574,9660,,
SCU_13-04,5/1/1979,2745,41362,984,,
SCU_43A-05,5/1/1979,2745,41362,984,,
SRU_23-27,2/1/1984,2745,27529,36870,,
SRU_32A-33,5/1/1999,2747,8455,27542,,
SCU_33-33,3/1/2014,2747,3451,3632,,
SCU_34-08,10/1/1982,2748,123460,5611,,
SCU_41A-08,9/1/2001,2748,39241,288,,
SCU_33-05,3/1/1982,2750,35955,132,,
SCU_24A-05,1/1/2000,2750,162661,412,,
SRU_41A-15,2/1/2017,2750,1483,28075,,
SRU_21A-34,5/1/1999,2752,16343,31058,,
SCU_41A-08,5/1/2005,2752,,320,,
SRU_32A-33,2/1/2004,2753,464,20344,,
SCU_34-05,9/1/1977,2754,107701,60,,
SRU_34-10,3/1/1982,2754,75798,23389,,
SRU_41A-15,9/1/1979,2755,4765,16500,,
SRU_12-15,12/1/1986,2755,43921,20664,,
SRU_41A-15,4/1/2017,2755,1725,30129,,
SCU_34-08,4/1/1963,2756,1552,28,,
SCU_314-03,2/1/1982,2756,177304,272,,
SRU_12-15,3/1/1986,2756,488,19693,,
SCU_43-09,6/1/1986,2756,257970,84,,
SCU_34-33,2/1/1983,2757,229641,116,,
SCU_34-04,11/1/1985,2757,235615,41,,
SCU_34-08,3/1/1993,2758,262844,3006,,
SRU_21A-34,1/1/2002,2758,7299,31383,,
SRU_32C-15,2/1/2017,2759,24738,12225,,
SRU_32A-33,4/1/2000,2760,3953,28247,,
SRU_32A-33,9/1/2006,2760,,38643,,
SRU_23-15,8/1/1978,2761,32190,6107,,
SCU_33-33,5/1/2013,2761,4259,3507,,
SRU_41A-15,5/1/1975,2762,3542,12660,,
SRU_14-33,8/1/1968,2763,441,2260,,
SCU_33-05,6/1/1994,2763,23688,25,,
SRU_21-22,4/1/1984,2764,3833,27093,,
SCU_33-05,4/1/1980,2765,77037,60,,
SRU_14-22,11/1/1986,2765,63058,17198,,
SRU_32A-33,3/1/2004,2765,394,20664,,
SRU_12-15,9/1/1990,2766,4396,20578,,
SCU_13-34,3/1/2003,2766,3489,1431,,
SRU_14-22,6/1/1982,2767,74992,9330,,
SRU_21-27,7/1/1988,2767,12160,18609,,
KGSF_1,2/1/1978,2768,56353,3348,,
SRU_32A-33,7/1/2006,2768,22,41077,,
SRU_23-15,12/1/1979,2769,10475,7874,,
SCU_13-34,8/1/2007,2770,2384,624,,
SRU_12-15,6/1/1978,2772,9419,18966,,
SCU_34-33,6/1/1981,2772,138796,98,,
SCU_33-33,12/1/1995,2772,204986,925,,
SCU_42A-05,7/1/1997,2772,285359,35018,,
SCU_41A-09,6/1/1982,2773,54976,2524,,
SRU_41-33,4/1/2000,2773,23946,60758,,
SRU_12-15,5/1/1990,2774,390,21391,,
SCU_24-09,3/1/1994,2774,399802,5968,,
SCU_24A-09,3/1/1994,2774,399802,5968,,
SCU_323-09,8/1/1997,2774,3119,29,,
SRU_41A-15,8/1/2016,2774,4668,30837,,
SCU_32-08,6/1/2003,2775,418,3482,,
SRU_32A-33,9/1/2004,2775,472,24761,,
SRU_23-22,12/1/1976,2776,5527,9858,,
SCU_33-33,9/1/1997,2776,33485,2240,,
SCU_44B-33,8/1/2016,2776,1112,18374,,
SCU_24-34,8/1/1985,2777,296224,1223,,
SCU_34-08,10/1/1980,2778,178129,3840,,
SRU_23-15,10/1/1981,2778,107436,12101,,
SRU_34-10,12/1/1970,2779,30202,15747,,
SCU_43-09,8/1/1982,2779,232376,1001,,
SRU_23-27,6/1/1984,2779,5544,28236,,
SCU_332-04,2/1/2007,2779,,,,
SCU_32-08,10/1/2005,2780,162,456,,
SCU_33-05,7/1/1981,2781,49198,115,,
SRU_12-15,1/1/1990,2781,9401,22415,,
SRU_41A-15,7/1/2013,2781,532,24234,,
SCU_323-09,7/1/1998,2782,357,265,,
SRU_32A-33,3/1/2000,2782,6780,28642,,
SRU_23-15,12/1/1980,2783,6792,5136,,
SRU_14-22,10/1/1969,2784,2253,1856,,
SCU_21-03,4/1/1995,2784,473132,609,,
SCU_33-33,5/1/2015,2784,4775,3479,,
SCU_21-08,6/1/1987,2785,159127,4526,,
SCU_34-08,8/1/1988,2785,249275,3415,,
SRU_34-10,2/1/1962,2786,507,1708,,
SRU_14-22,9/1/1974,2786,2695,6630,,
SRU_14-22,10/1/1986,2786,62206,18471,,
SCU_12A-03,3/1/1991,2786,376467,1192,,
SCU_34-08,1/1/1984,2787,98623,5611,,
SCU_14-34,1/1/1999,2787,97194,840,,
SCU_31-16,4/1/1975,2788,12779,768,,
SCU_42B-05,11/1/1994,2788,354159,449,,
SCU_34-09,9/1/1997,2788,241596,4083,,
SCU_13-34,3/1/1999,2788,1933,1399,,
SCU_44B-33,4/1/2016,2789,736,11417,,
SRU_12-15,9/1/1988,2790,30249,20238,,
SRU_34-10,3/1/1962,2791,572,1711,,
SCU_41A-08,10/1/1995,2791,111,43,,
SCU_321-09,11/1/1996,2791,1246,2552,,
SCU_13-34,5/1/1999,2791,6652,1572,,
SCU_34-08,9/1/1990,2792,270677,3420,,
SCU_32-08,11/1/2002,2792,951,2888,,
SCU_33-33,2/1/2011,2792,1527,2987,,
SCU_13-34,8/1/1998,2793,2480,1520,,
SCU_33-33,3/1/2015,2793,4379,3454,,
SCU_34-08,7/1/1989,2794,288476,3743,,
SRU_12-27,11/1/1993,2794,6564,17452,,
SRU_41-33,9/1/2004,2794,18132,58019,,
SRU_34-10,5/1/1983,2795,4266,27436,,
SRU_21-22,1/1/1994,2795,7637,42935,,
SCU_33-33,11/1/2010,2795,236,3102,,
SCU_13-09,3/1/1994,2796,626155,281,,
SRU_14-22,11/1/1965,2797,797,429,,
SCU_34-04,8/1/1980,2797,75312,33,,
SCU_33-05,8/1/1981,2797,44757,286,,
SCU_33-33,11/1/1996,2797,101179,2107,,
SRU_14-22,11/1/1978,2798,16454,9270,,
SCU_24-09,9/1/1982,2798,151848,749,,
SCU_24A-09,9/1/1982,2798,151848,749,,
SCU_34-08,5/1/1989,2798,278179,3427,,
SCU_32A-05,2/1/1982,2800,80205,1991,,
SCU_31-08,9/1/1986,2800,7232,105,,
SCU_21-16,7/1/1973,2801,41539,20,,
SRU_41A-15,10/1/2017,2801,2560,28260,,
SRU_41-33,10/1/2002,2802,21325,59796,,
SCU_343-33,9/1/1993,2803,84506,3730,,
SRU_21A-34,1/1/2010,2804,6712,45675,,
SRU_34-10,5/1/1962,2805,1176,2204,,
SCU_33-05,1/1/1980,2805,70570,60,,
SRU_12-27,12/1/1991,2805,2931,18776,,
SCU_33-33,4/1/2003,2805,5454,2737,,
SRU_32A-33,4/1/2004,2807,449,20466,,
SCU_332-04,7/1/2006,2807,,,,
SRU_21A-34,11/1/1998,2808,18431,37770,,
SRU_14A-33,1/1/1987,2809,39082,3231,,
SCU_34-08,3/1/1991,2809,297612,3164,,
SCU_31-08,5/1/1993,2809,177980,214,,
SCU_33-33,9/1/1995,2809,238554,1128,,
SCU_34-09,11/1/1997,2809,224543,5935,,
SRU_21-15,3/1/1973,2810,1212,3299,,
SRU_21-27,2/1/1985,2811,11235,10868,,
SRU_23-27,8/1/1974,2812,19546,9560,,
SRU_23-15,5/1/1982,2812,61103,8473,,
SCU_21-08,9/1/1991,2813,471781,6420,,
SRU_21A-34,4/1/1999,2813,20900,32048,,
SCU_44-33,12/1/2015,2813,3231,6314,,
SCU_34-08,11/1/1988,2814,260908,3723,,
SCU_33A-08,9/1/1992,2814,194247,70,,
SCU_31-08,7/1/1993,2814,170511,177,,
SRU_41A-15,11/1/2012,2814,948,54048,,
SCU_31-08,6/1/1993,2815,188837,145,,
SRU_32A-33,11/1/2003,2816,2047,18767,,
SRU_14B-27,2/1/2015,2816,10493,13943,,
SRU_23-33,9/1/1982,2817,97802,1641,,
SCU_34-08,4/1/1989,2817,256761,3435,,
SCU_43-09,6/1/1990,2817,347305,224,,
SCU_32-08,3/1/1987,2818,189071,382,,
SCU_13-34,11/1/2010,2818,187,1298,,
SCU_13-34,1/1/1999,2819,1009,1744,,
SRU_14A-33,4/1/1982,2820,76146,2844,,
SRU_12-15,7/1/1988,2821,25593,20615,,
SCU_34-08,1/1/1990,2821,292593,3756,,
SCU_44B-33,7/1/2017,2822,10880,19964,,
SRU_23-27,12/1/1981,2823,69636,15603,,
SCU_41-05,7/1/1993,2824,374290,631,,
SRU_41A-15,4/1/1978,2825,11869,13950,,
SCU_33-33,3/1/2011,2825,1435,2925,,
SRU_21-22,4/1/1966,2826,688,4992,,
SCU_33-33,7/1/2011,2827,1661,2573,,
SRU_41A-15,1/1/2017,2827,2356,28337,,
SCU_21-03,7/1/1968,2828,1819,5232,,
SCU_21A-16,10/1/1976,2828,27482,700,,
SCU_34-08,10/1/1989,2832,288819,3914,,
SRU_21-22,1/1/1993,2832,6788,33104,,
SCU_41A-08,1/1/1995,2833,4510,268,,
SRU_14-22,4/1/1981,2834,82652,5124,,
SRU_41-33,2/1/2003,2834,15003,55991,,
SCU_33-33,9/1/2010,2834,,4485,,
SRU_21-27,6/1/1988,2836,4428,18198,,
SRU_41-33,2/1/2004,2836,21410,52913,,
SCU_31A-16,10/1/1978,2838,107160,40,,
SCU_21B-16,5/1/1987,2838,20380,377,,
SRU_23-22,6/1/1963,2839,538,501,,
SRU_41A-15,9/1/1977,2839,3276,15720,,
SCU_34-04,7/1/1982,2839,246368,127,,
SRU_21A-34,7/1/1995,2839,18375,54187,,
SRU_13-27,12/1/2016,2839,1247,18398,,
SRU_13-27,2/1/2017,2839,4189,16874,,
SRU_23-27,10/1/1984,2840,439,32457,,
SRU_14A-33,2/1/1983,2841,139849,3112,,
SCU_41A-08,5/1/2001,2841,79867,262,,
SRU_41A-15,10/1/2016,2843,5310,27919,,
SRU_13-27,9/1/2017,2843,2460,19267,,
SRU_34-10,3/1/1983,2844,7099,33151,,
SCU_43A-08,12/1/1983,2844,11251,349,,
SRU_21A-34,10/1/1998,2845,17159,38191,,
SRU_41-33,3/1/2001,2845,20066,61663,,
SRU_21-27,4/1/1982,2847,45003,5406,,
SRU_23-33,2/1/1991,2847,39612,816,,
SRU_12-15,11/1/1984,2848,861,24122,,
SCU_41-05,4/1/1993,2848,365259,465,,
SCU_34-05,4/1/1973,2849,39120,23,,
SRU_23-15,9/1/1983,2849,10967,9120,,
SRU_41-33,2/1/2000,2849,113706,51594,,
SCU_31-08,1/1/1994,2850,167497,179,,
SCU_41-05,4/1/1970,2851,17034,2333,,
SRU_32C-15,10/1/2017,2851,278,8565,,
SRU_21-15,5/1/1965,2852,665,4278,,
SCU_34-08,5/1/1990,2852,306454,3490,,
SRU_21-22,1/1/1985,2853,16789,29748,,
SCU_33-33,2/1/2001,2853,6230,3453,,
SRU_21-27,9/1/1983,2854,9311,9626,,
SCU_42B-05,9/1/1995,2854,371190,579,,
SRU_41A-15,12/1/1978,2855,8973,15345,,
SRU_32A-33,11/1/1999,2855,3185,27282,,
SRU_23-27,10/1/1983,2856,3431,30352,,
SCU_21-03,5/1/1995,2856,307209,476,,
SCU_32A-05,12/1/1981,2857,88752,2255,,
SCU_31-08,2/1/1993,2857,163895,175,,
SCU_42B-05,9/1/1993,2857,334258,390,,
SCU_42B-05,7/1/1994,2857,350471,397,,
SCU_33-33,10/1/1995,2857,231337,821,,
SRU_32A-33,1/1/2000,2857,5339,27489,,
SCU_332-04,2/1/2006,2858,2,,,
SCU_33-05,9/1/1981,2859,41092,494,,
SCU_34-08,11/1/1977,2860,51139,4700,,
SRU_23-33,9/1/1973,2861,1171,332,,
SCU_11-16,10/1/1982,2861,181382,67,,
SCU_43A-04,5/1/1976,2862,91174,165,,
SCU_34-08,6/1/1990,2862,291969,3496,,
SCU_33A-08,11/1/1991,2862,150234,107,,
SCU_12A-03,4/1/1992,2862,404639,1354,,
SCU_21B-16,4/1/1995,2862,213546,767,,
SCU_34-04,10/1/1995,2862,2760,41,,
SCU_13-34,6/1/2003,2862,4386,1765,,
SCU_21A-09,4/1/2007,2862,,23,,
SRU_21-22,5/1/1966,2864,726,5158,,
SRU_34-10,12/1/1981,2865,131155,21177,,
SCU_13-09,7/1/1984,2866,267208,89,,
SCU_41A-08,3/1/2002,2866,856,324,,
SCU_24-34,12/1/1981,2867,199840,1212,,
SCU_332-04,1/1/2007,2867,,,,
SCU_34-08,3/1/1980,2868,140138,4321,,
SCU_43A-08,1/1/1984,2868,14345,389,,
SRU_21A-34,8/1/1994,2868,5499,40569,,
SCU_44-04,9/1/1997,2868,490755,33672,,
SCU_32-05,9/1/1969,2869,1447,1758,,
SCU_31-16,8/1/1973,2870,33744,95,,
SCU_21-08,4/1/1993,2870,254120,6058,,
SCU_13-34,11/1/1998,2870,1717,1517,,
SCU_34-08,9/1/1982,2871,125091,5430,,
SRU_12-15,5/1/1987,2872,8295,21132,,
SCU_12A-04,3/1/1994,2874,502731,230,,
SRU_41A-15,1/1/2013,2874,6360,39742,,
SRU_234-15,6/1/1963,2875,494,2875,,
SCU_32-05,8/1/1967,2875,2266,2592,,
SCU_32-05,9/1/1967,2875,2124,2592,,
SRU_14-22,5/1/1982,2876,59017,10558,,
SCU_43A-08,8/1/1985,2877,19592,263,,
SCU_33-33,11/1/2004,2877,8170,2134,,
SCU_33-33,8/1/2013,2877,8006,4336,,
SCU_42B-05,2/1/1991,2878,265823,295,,
SCU_13-34,3/1/2005,2879,3380,2050,,
SRU_21-22,4/1/1965,2880,651,6720,,
SRU_34-28,11/1/1983,2881,15530,53780,,
SCU_332-04,11/1/2000,2881,593,5,,
SCU_33-33,12/1/1997,2882,18939,1828,,
SRU_21A-34,1/1/2003,2882,7922,43796,,
SCU_41-05,8/1/1993,2883,425704,787,,
SCU_34-09,10/1/1984,2884,313768,108,,
SCU_43B-08,4/1/1998,2884,86031,492,,
SCU_22B-04,4/1/2016,2885,2283,2447,,
SRU_41A-15,2/1/2014,2886,6046,25516,,
SRU_23-33,9/1/1991,2888,38410,1138,,
SRU_41-33,7/1/2001,2888,18229,64980,,
SCU_44B-33,9/1/2016,2888,4497,18456,,
SRU_21-22,12/1/1983,2889,20190,25776,,
SCU_21-03,9/1/1997,2889,347587,3270,,
SRU_32A-33,2/1/2007,2889,5765,36579,,
SCU_14-05,8/1/1971,2890,9177,4335,,
SRU_21-22,7/1/1981,2890,23832,19332,,
SRU_23-33,2/1/1982,2890,87851,831,,
SCU_12A-04,1/1/1995,2890,556611,259,,
SCU_33-33,9/1/2000,2891,3922,1421,,
SRU_34-10,1/1/1962,2892,572,1557,,
SCU_43-04,6/1/1971,2892,28726,29,,
SCU_314-03,2/1/1979,2892,120291,406,,
SCU_43A-08,3/1/1984,2892,12337,326,,
SCU_32B-09,7/1/1997,2892,228651,7528,,
SCU_13-34,6/1/1997,2893,8000,1495,,
SRU_41A-15,12/1/1976,2896,27254,11408,,
SCU_43A-08,4/1/1987,2896,52802,1217,,
SCU_32-08,11/1/2005,2897,200,434,,
SRU_12-15,7/1/1990,2898,6071,23411,,
SCU_24-09,2/1/1994,2898,229971,5555,,
SCU_24A-09,2/1/1994,2898,229971,5555,,
SRU_23-22,10/1/1975,2899,8386,17763,,
SCU_12A-10,10/1/1995,2899,122798,4608,,
KGSF_1,2/1/1980,2900,174502,5586,,
SRU_32A-33,7/1/2008,2900,1264,37468,,
SRU_13-27,7/1/2017,2900,4035,20603,,
SRU_21-22,2/1/1984,2901,8267,30011,,
SCU_13-34,8/1/1999,2901,2094,1465,,
SCU_32-08,2/1/2006,2901,514,348,,
SRU_21-27,11/1/1985,2902,1747,10844,,
SCU_41A-08,12/1/2002,2902,456,619,,
SCU_42B-05,1/1/1995,2903,366651,562,,
SCU_43-09,10/1/1992,2904,489268,316,,
SCU_13-34,9/1/2002,2905,5078,1447,,
SRU_13-27,8/1/2017,2906,3498,20713,,
SRU_32A-15,6/1/1996,2907,24171,419,,
SCU_332-04,11/1/2006,2907,,,,
SRU_21-15,9/1/1970,2908,12528,4362,,
KGSF_1,6/1/1983,2909,241059,28442,,
SRU_331-27,7/1/1961,2910,582,3224,,
SCU_12A-10,8/1/1983,2910,248694,1372,,
SCU_34-05,10/1/1970,2911,31180,31,,
SCU_21A-16,10/1/1978,2911,38439,120,,
SRU_23-15,12/1/1978,2912,6963,6913,,
SCU_24A-05,12/1/1999,2912,179829,400,,
SRU_21A-34,7/1/2001,2913,14635,36435,,
SCU_33-33,3/1/2001,2915,1701,2112,,
SRU_23-15,11/1/1979,2916,15848,6757,,
SRU_32A-33,3/1/2007,2916,755,40923,,
SRU_21A-34,9/1/2013,2916,6010,28743,,
SRU_12-15,2/1/1982,2917,54294,13131,,
SCU_34-05,4/1/1985,2917,35499,6480,,
SRU_21-27,8/1/1985,2917,462,11555,,
SCU_12A-10,4/1/1986,2917,281919,269,,
SCU_43-09,9/1/1967,2918,2024,11400,,
SRU_32A-33,6/1/2004,2918,494,23005,,
SRU_13-27,11/1/2016,2918,760,17679,,
SCU_43-09,8/1/1967,2919,1487,11400,,
SRU_23-22,9/1/1979,2919,2804,8787,,
SCU_41-05,11/1/1993,2919,392735,221,,
SRU_32A-33,5/1/2008,2919,13,46516,,
SCU_43A-08,5/1/1984,2920,8491,291,,
SCU_23B-03,6/1/1984,2920,166163,85,,
SCU_32A-05,1/1/1981,2921,104630,3335,,
SRU_234-15,8/1/1970,2922,6866,6811,,
SCU_43A-04,4/1/1976,2922,90612,165,,
SRU_23-22,6/1/1981,2922,47507,7203,,
SRU_23-15,1/1/1983,2922,85073,7442,,
SRU_21-27,1/1/1989,2922,7842,17270,,
SCU_41A-08,8/1/2001,2922,70578,355,,
SCU_41A-08,12/1/2015,2922,1792,5226,,
SCU_33-33,10/1/1997,2923,28455,2438,,
SRU_21A-34,5/1/2010,2923,2595,46909,,
SCU_41-05,5/1/1987,2924,243124,349,,
SCU_42B-05,8/1/1994,2925,356932,416,,
SCU_41A-08,12/1/1994,2925,3298,197,,
SCU_12A-03,10/1/1993,2926,404060,2506,,
SCU_34-08,3/1/1989,2927,270050,3955,,
SRU_23-33,8/1/1991,2927,47048,1187,,
SCU_41A-08,1/1/2015,2928,1512,6970,,
SRU_13-27,4/1/2017,2928,2896,18225,,
SRU_23-27,12/1/1983,2929,347,30101,,
SCU_34-04,11/1/1995,2930,2459,558,,
SCU_41-05,9/1/1961,2931,620,30,,
SCU_33A-08,6/1/1992,2931,161834,86,,
SCU_32-08,2/1/2003,2931,626,2371,,
SCU_32-08,3/1/2006,2932,1429,637,,
SRU_14-22,4/1/1982,2933,54656,11307,,
SCU_13-34,7/1/1999,2933,2214,1281,,
SCU_33-05,5/1/1982,2934,43826,185,,
SRU_21-27,12/1/1987,2934,10749,19642,,
SRU_32A-33,1/1/2001,2935,1884,26602,,
SRU_21A-34,8/1/2001,2935,16714,34725,,
SCU_33-33,12/1/2013,2935,3066,3491,,
SCU_33-05,10/1/1979,2936,76390,60,,
SCU_43A-08,6/1/1984,2937,11943,325,,
SRU_21A-34,9/1/2002,2937,11280,39364,,
SRU_41-33,1/1/2003,2937,14986,60945,,
SCU_24A-05,11/1/1999,2938,179307,510,,
SCU_332-04,9/1/2002,2938,4795,37,,
SCU_33-33,11/1/2009,2938,577,3980,,
SCU_14-05,12/1/1971,2939,1440,5458,,
SRU_21-27,4/1/1988,2939,8787,14148,,
SCU_22B-04,8/1/2016,2939,376,1600,,
SRU_234-15,2/1/1965,2940,708,6860,,
SCU_41A-08,1/1/2003,2940,650,510,,
SCU_13-34,4/1/2003,2941,5350,1317,,
SRU_23-15,11/1/1977,2942,6254,9750,,
SRU_23-15,12/1/1982,2942,97398,8142,,
SCU_42B-05,12/1/1994,2942,383120,599,,
SRU_41-33,5/1/2000,2942,55036,63391,,
SRU_23B-22,3/1/2013,2942,14754,3076,,
SCU_13-09,5/1/1988,2943,98122,1434,,
SCU_43B-08,6/1/1996,2943,252767,475,,
SRU_41-33,2/1/2001,2943,15589,59853,,
SRU_13-27,8/1/2016,2944,562,20055,,
SRU_34-28,2/1/1983,2945,1158,39058,,
SRU_12-27,10/1/1993,2945,960,24162,,
SCU_43B-08,12/1/1996,2945,198244,453,,
SCU_43B-08,1/1/1997,2946,174983,191,,
SRU_331-27,9/1/2013,2946,1984,2586,,
